

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	7	27	36
1	16	6	34
2	33677	33657	33667
3	3	18319	18347
4	26547	26574	26564
5	11943	11960	11970
6	21243	21271	21261
7	9586	9604	9614
8	20066	20093	20083
9	18236	18254	18264
10	19611	19639	19629
11	28949	28966	28976
12	18102	18130	18120
13	22687	22704	22714
14	21724	21752	21742
15	19601	19581	19591
16	3	21468	21432
17	32932	32913	32922
18	14231	14259	14249
19	24134	24113	24124
20	3	5115	5079
21	22631	22610	22621
22	20273	20263	20254
23	3	23880	23891
24	6	34	24
25	3	24932	24941
26	3	29100	29065
27	5601	5582	5591
28	3	26697	26725
29	13282	13310	13300
30	11842	11814	11823
31	23813	23823	23833
32	15279	15270	15260
33	13644	13654	13664
34	12743	12732	12723
35	23472	23482	23492
36	4782	4773	4764
37	23026	23037	23047
38	21994	21985	21975
39	3	27312	27322
40	6476	6466	6456
41	18141	18151	18161
42	6447	6437	6428
43	16162	16172	16182
44	12415	12406	12396
45	33044	33054	33064
46	21245	21235	21226
47	3	20403	20413
48	8955	8946	8936
49	3	34982	34992
50	13697	13706	13687
51	23814	23786	23796
52	3	30265	30228
53	17595	17585	17604
54	26883	26874	26864
55	3	15908	15880
56	23606	23578	23587
57	3	17276	17248
58	33745	33717	33726
59	3	16296	16324
60	3	28558	28522
61	21740	21730	21749
62	12340	12312	12330
63	9623	9632	9651
64	4	22920	22883
65	35234	35216	35243
66	14136	14144	14126
67	10053	10033	10043
68	29952	29961	29979
69	28514	28486	28504
70	3	19886	19914
71	3	22067	22047
72	19998	19984	20007
73	3	14993	14974
74	34	6	15
75	3	8175	8184
76	17429	17392	17401
77	11729	11739	11749
78	3	915	951
79	31485	31475	31466
80	3	1310	1346
81	23353	23344	23334
82	3	24685	24721
83	31764	31773	31755
84	6549	6539	6558
85	12632	12623	12613
86	5053	5081	5062
87	3	9722	9758
88	33706	33715	33696
89	3	23986	24022
90	25470	25479	25461
91	3	10169	10205
92	17853	17862	17843
93	3	22179	22216
94	15085	15094	15075
95	3	2078	2114
96	32617	32626	32606
97	3	12278	12315
98	28322	28331	28313
99	4	11235	11271
100	23692	23701	23682
101	4	9963	10000
102	33219	33228	33209
103	4	19810	19847
104	21866	21875	21854
105	3	23621	23657
106	25195	25204	25185
107	4	13758	13795
108	27916	27925	27907
109	3	12264	12283
110	34093	34102	34076
111	13083	13063	13073
112	15013	15004	14994
113	23260	23287	23269
114	2928	2900	2909
115	28487	28515	28496
116	3	13372	13408
117	31458	31467	31447
118	3	11453	11471
119	15419	15427	15409
120	3	20453	20471
121	35165	35174	35146
122	3	17256	17274
123	28448	28457	28438
124	27310	27282	27291
125	20601	20610	20591
126	3	13439	13460
127	33682	33691	33671
128	21560	21532	21541
129	17316	17307	17298
130	3	12057	12068
131	26176	26166	26156
132	3	5887	5897
133	23711	23702	23692
134	3	16792	16803
135	36705	36696	36686
136	3	24240	24229
137	27664	27673	27651
138	18104	18094	18113
139	19914	19923	19903
140	3	10435	10455
141	26205	26214	26196
142	3	8612	8631
143	31175	31184	31165
144	3	3762	3783
145	24301	24310	24292
146	3	2111	2131
147	33046	33055	33036
148	4	23729	23749
149	26786	26795	26776
150	20725	20704	20715
151	3	18724	18713
152	14452	14443	14433
153	3	22513	22523
154	29237	29227	29218
155	3	12	22
156	31611	31601	31592
157	4	14558	14569
158	39409	39400	39390
159	1319	0	0
160	3	13623	13660
161	21999	22008	21988
162	11780	11761	11770
163	17486	17514	17495
164	10485	10457	10466
165	19466	19493	19475
166	23862	23834	23844
167	10573	10583	10593
168	3630	3601	3610
169	7	16	34
170	23767	23786	23776
171	3	31213	31223
172	15692	15683	15673
173	3	22404	22414
174	2826	2815	2806
175	6	34	15
176	15541	15560	15550
177	3	25889	25852
178	36	8	18
179	3	3924	3914
180	3	21442	21479
181	3261	3252	3242
182	36890	36901	36911
183	10586	10577	10567
184	3	19915	19951
185	30261	30243	30233
186	36	8	17
187	3	30077	30041
188	7	24	16043
189	3	22465	22428
190	20373	20390	20400
191	17049	17076	17066
192	28268	28286	28296
193	17	6	35
194	6	33	15
195	8060	8079	8069
196	3	24794	24766
197	8290	8280	8299
198	3	27689	27717
199	20262	20271	20252
200	3	20938	20965
201	27409	27399	27389
202	3	5319	5347
203	23702	23693	23683
204	3	11069	11097
205	37512	37529	37502
206	6224	6235	6245
207	11961	11933	11924
208	29179	29201	29191
209	19836	19818	19809
210	3	28101	28091
211	28773	28745	28736
212	4011	0	0
