

Reaction test
type	A+B+C
number	250

max value	65536
unit	us

test	A	B	C
0	784	755	774
1	23516	23525	23543
2	9924	9896	9914
3	34271	34280	34299
4	22312	22284	22302
5	3	28209	28237
6	11661	11689	11679
7	11508	11498	11517
8	28537	28509	28527
9	3	15538	15566
10	31004	30977	30995
11	10650	10661	10671
12	27694	27703	27685
13	3	8726	8754
14	19155	19127	19145
15	4	28260	28288
16	28626	28643	28616
17	15742	15760	15770
18	29146	29173	29137
19	20198	20177	20188
20	3	23809	23837
21	10799	10808	10790
22	3	27234	27262
23	34521	34493	34511
24	14995	15006	15016
25	24751	24760	24740
26	3	13548	13575
27	25496	25468	25486
28	3	9082	9110
29	12974	12946	12964
30	26523	26532	26550
31	22636	22608	22626
32	3	33016	32997
33	18	27	8
34	3	26739	26749
35	29672	29681	29663
36	19647	19619	19628
37	29456	29447	29437
38	4	18674	18684
39	18170	18161	18151
40	4887	4915	4896
41	3	18053	18090
42	33	5	23
43	3	14603	14613
44	3997	3988	3978
45	3	19425	19461
46	24789	24779	24770
47	3	20126	20162
48	21883	21873	21863
49	4	30251	30286
50	9557	9548	9538
51	3	16075	16111
52	27391	27382	27372
53	28983	28965	29000
54	3	16783	16773
55	3	32490	32524
56	19676	19667	19657
57	3	33496	33542
58	35	7	25
59	3	14277	14296
60	15020	14992	14983
61	6	33	14
62	33814	33804	33823
63	2844	2834	2863
64	16293	16283	16302
65	4	15	25
66	21562	21551	21572
67	3	2278	2258
68	35	7	17
69	24829	24838	24820
70	25618	3	25590
71	3	19997	20008
72	20730	20721	20711
73	6	16	26
74	6	16	26
75	34354	4	34335
76	3	17893	17903
77	30615	30606	30596
78	3	29974	29947
79	10886	10876	10895
80	10958	10967	10948
81	3	5074	5094
82	21214	21223	21203
83	3	10193	10212
84	25910	25919	25899
85	3	14525	14544
86	33758	33740	33730
87	4	19823	19833
88	7636	7607	7617
89	21839	21849	21859
90	888	851	860
91	3	22507	22518
92	29125	29116	29106
93	3	17480	17491
94	33511	33493	33484
95	3	28455	28445
96	47843	0	0
97	3	21783	21755
98	128	146	156
99	3	10830	10811
100	4	22	32
101	6	16	26
102	8897	8877	8887
103	3	28485	28513
104	7	35	25
105	3	19096	19106
106	7	35	25
107	3	39114	39133
108	7170	7159	7188
109	36	8	17
110	3	31395	31358
111	2016	1996	2006
112	3	39596	39624
113	32370	32397	32388
114	7461	7433	7443
115	3	32439	32403
116	16222	16194	16203
117	41671	15730	15720
118	27163	27136	27127
119	3	26601	26629
120	10564	10554	10582
121	7	35	16
122	4	2401	2421
123	10586	10575	10565
124	3	14070	14052
125	6	24	34
126	3	6163	6173
127	1481	1462	1471
128	3	16837	16864
129	7	34	24
130	3	35865	35893
131	16	6	34
132	3	15572	15544
133	5	16	25
134	11727	11717	11708
135	4	4060	4032
136	3	15677	15696
137	8458	3	8439
138	3	6450	6422
139	6	17	27
140	5	33	23
141	3	7835	7845
142	3	12	21
143	3	6689	6709
144	11571	11561	11552
145	22731	22710	22721
146	18430	18439	18458
147	5	32	22
148	5719	5699	5708
149	3	3128	3155
150	6782	6809	6773
151	40043	40033	40052
152	9574	9602	9592
153	26	7	16
154	3	2702	2683
155	35409	35372	35381
156	4	15091	15101
157	28329	28292	28301
158	3	12344	12354
159	13827	13790	13799
160	3	12	22
161	3	12	21
162	13454	13426	13435
163	6	15140	16
164	28526	28497	28507
165	3	5698	5708
166	40278	40250	40259
167	7	17	27
168	3	35559	35596
169	12864	12874	12883
170	13076	13039	13049
171	3	12	21
172	3	9475	9456
173	23601	23572	23582
174	16455	16465	16475
175	11795	11766	11775
176	8	16	35
177	27449	27412	27422
178	3	5117	5107
179	3	26192	26229
180	15405	15395	15385
181	3	15994	16030
182	922	912	903
183	6	15	25
184	3	11357	11394
185	17668	17658	17649
186	32213	32203	32222
187	3	33398	33407
188	35	7	25
189	4	38471	38489
190	24651	24642	24632
191	3	11777	11787
192	38202	38193	38175
193	3	12	22
194	33	5	23
195	21610	21627	21637
196	3	31994	31966
197	7993	8010	8020
198	3	39117	39097
199	9913	9903	9922
200	19204	19177	19167
201	3	21904	21894
202	27266	27230	27220
203	3	10612	10602
204	5950	5923	5913
205	16535	16556	16546
206	27948	27939	27929
207	32979	32958	32969
208	3	12	22
209	3	6821	6841
210	25065	25037	25028
211	3	21	12
212	5	16	25
213	21474	21501	21465
214	26597	26614	26624
215	10832	10859	10849
216	13750	13768	13778
217	7045	7072	7062
218	36	8	17
219	3	3896	3907
220	7353	7380	7344
221	10074	10045	10055
222	7	16	34
223	4727	4708	4717
224	3	20657	20684
225	15	24	5
226	671	691	681
227	4917	4934	4944
228	913	935	925
229	12867	12839	12830
230	4692	4701	4719
231	20058	20067	20047
232	3	14992	15020
233	3	21190	21154
234	652	633	642
235	5821	5830	5840
236	31247	31227	31237
237	3	7410	7438
238	3	13192	13155
239	34	6	15
240	4	5567	5577
241	252	261	271
242	34932	34952	34943
243	11385	11364	11375
244	3	17272	17236
245	3485	3464	3475
246	3	33959	33922
247	6153	6134	6143
248	33657	33677	33667
249	437	417	427
