

Reaction test
type	A+B+C
number	250

max value	65536
unit	us

test	A	B	C
0	269	241	259
1	719	709	728
2	578	558	568
3	344	334	353
4	427	1399	450
5	508	498	517
6	904	883	894
7	595	585	604
8	519	499	510
9	325	315	334
10	299	289	309
11	75	54	65
12	368	347	358
13	330	320	339
14	19	1013	10
15	95	85	104
16	827	817	836
17	567	557	576
18	243	233	252
19	757	746	766
20	837	817	827
21	82	72	91
22	520	499	510
23	845	835	854
24	840	830	849
25	771	761	780
26	39	29	48
27	738	728	747
28	976	966	985
29	933	923	942
30	594	573	584
31	61	41	51
32	736	726	745
33	654	634	644
34	883	863	874
35	652	632	642
36	500	490	509
37	226	216	235
38	31	21	40
39	650	630	640
40	442	421	432
41	335	325	344
42	537	516	527
43	548	527	538
44	582	562	572
45	547	526	537
46	577	567	586
47	316	306	325
48	897	887	906
49	376	366	385
50	894	884	903
51	469	449	459
52	144	124	134
53	527	517	536
54	660	640	650
55	28	18	37
56	236	226	245
57	127	117	136
58	469	459	478
59	348	338	357
60	139	129	148
61	363	342	353
62	482	472	491
63	660	650	669
64	134	114	124
65	799	778	789
66	547	527	537
67	653	643	662
68	654	644	663
69	731	711	721
70	814	794	804
71	952	932	943
72	947	926	937
73	650	640	659
74	760	749	769
75	58	38	48
76	962	952	971
77	957	947	966
78	861	851	870
79	488	468	478
80	741	721	731
81	1010	1000	1019
82	852	831	842
83	835	814	825
84	754	734	744
85	839	819	829
86	426	416	435
87	559	538	549
88	541	531	550
89	362	342	352
90	329	308	319
91	653	643	662
92	439	419	429
93	683	662	673
94	21	1013	11
95	242	221	232
96	627	617	636
97	21	11	30
98	747	727	738
99	984	974	993
100	368	347	358
101	880	869	889
102	903	893	912
103	674	664	683
104	489	479	498
105	272	251	262
106	439	419	429
107	901	881	891
108	81	61	71
109	247	236	256
110	912	891	902
111	107	87	97
112	973	963	982
113	789	769	779
114	644	634	654
115	960	940	951
116	818	797	808
117	424	403	414
118	611	591	602
119	73	63	82
120	590	569	580
121	328	318	337
122	904	894	913
123	245	235	254
124	709	699	718
125	328	307	318
126	1010	990	1000
127	16	6	25
128	923	902	913
129	915	894	905
130	552	532	542
131	412	391	402
132	28	19	37
133	933	913	923
134	972	962	981
135	871	851	861
136	246	225	236
137	649	629	639
138	521	501	511
139	451	431	441
140	730	720	739
141	705	695	714
142	760	740	750
143	270	260	279
144	241	221	231
145	474	464	483
146	227	217	236
147	872	851	862
148	305	285	295
149	648	628	638
150	731	721	740
151	888	867	878
152	677	657	667
153	136	126	145
154	768	748	758
155	815	805	824
156	494	485	503
157	390	380	399
158	285	275	294
159	988	968	978
160	851	841	860
161	390	370	380
162	717	696	707
163	927	917	936
164	1004	983	994
165	553	532	543
166	492	482	501
167	196	176	186
168	643	633	652
169	619	609	628
170	99	89	108
171	780	760	770
172	913	893	903
173	170	160	179
174	649	628	639
175	954	944	963
176	839	829	848
177	797	776	787
178	240	219	230
179	385	375	394
180	527	517	536
181	637	617	627
182	866	855	875
183	764	754	773
184	782	772	791
185	520	510	529
186	577	567	587
187	332	322	341
188	226	206	216
189	744	734	753
190	612	602	621
191	717	696	707
192	196	176	186
193	694	684	703
194	751	730	741
195	1001	991	1010
196	250	240	259
197	91	70	81
198	826	816	835
199	139	129	149
200	228	218	238
201	511	490	501
202	988	978	998
203	565	555	574
204	890	880	899
205	94	84	103
206	382	372	391
207	154	133	144
208	623	613	632
209	173	163	182
210	372	351	362
211	405	395	414
212	604	584	594
213	379	368	388
214	243	233	252
215	697	676	687
216	970	959	980
217	919	908	927
218	960	940	950
219	915	895	905
220	779	758	769
221	932	922	941
222	573	563	582
223	1015	1005	5
224	396	386	405
225	806	786	796
226	554	544	563
227	673	663	682
228	951	940	960
229	987	977	996
230	987	966	977
231	533	513	523
232	433	423	442
233	782	761	772
234	582	561	572
235	492	482	501
236	27	6	17
237	860	850	869
238	330	320	339
239	985	965	975
240	934	924	943
241	883	873	892
242	139	119	129
243	977	966	986
244	281	260	271
245	870	860	879
246	540	530	549
247	898	878	888
248	507	497	515
249	909	888	899
