

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	29	20	10
1	6	35	23
2	20	11	29
3	35	20	8
4	7	23	39
5	37	26	11
6	22	6	33
7	9	22	37
8	1577	7	1567
9	32	6	21
10	5	18	34
11	37	9	25
12	29	20	10
13	19	28	10
14	10	1220	19
15	25	37	10
16	5	16	32
17	32	17	6
18	9	38	18
19	20	29	7
20	9	22	33
21	30	20	8
22	19	28	9
23	28	5	17
24	31	12	21
25	18	9	29
26	23	39	5
27	35	25	5
28	6	41	21
29	10	26	36
30	5	26	16
31	23	10	32
32	25	37	8
33	8	36	24
34	21	6	32
35	6	34	22
36	21	6	30
37	10	19	28
38	20	11	29
39	17	5	33
40	37	26	9
41	28	18	6
42	21	32	7
43	9	41	25
44	33	22	10
45	33	8	22
46	9	18	28
47	7	23	33
48	20	36	7
49	23	35	7
50	38	26	10
51	7	24	34
52	24	7	33
53	7	31	19
54	24	8	35
55	32	5	22
56	11	30	20
57	33	17	6
58	5	33	23
59	37	8	17
60	21	5	32
61	19	28	9
62	33	21	6
63	18	6	33
64	564	19	9
65	5	35	25
66	10	29	19
67	24	37	9
68	39	23	7
69	10	26	37
70	20	11	29
71	20	29	10
72	7	35	23
73	9	25	42
74	29	20	10
75	36	27	6
76	24	36	8
77	28	9	18
78	23	34	8
79	21	11	45
80	31	7	20
81	15	29	5
82	20	29	10
83	30	8	20
84	11	20	29
85	19	31	7
86	18	7	33
87	28	9	18
88	28	17	6
89	8	19	29
90	9	18	28
91	31	6	21
92	6	33	19
93	18	27	9
94	18	8	30
95	5	19	32
96	34	22	10
97	10	19	29
98	28	6	18
99	9	26	36
100	33	6	21
101	22	7	33
102	19	8	30
103	33	8	21
104	30	11	20
105	9	28	18
106	34	6	19
107	8	24	35
108	18	6	33
109	12	44	21
110	29	10	19
111	8	21	34
112	37	9	25
113	8	31	21
114	11	30	20
115	32	22	8
116	35	23	8
117	6	17	29
118	18	6	30
119	8	36	25
120	23	33	7
121	19	6	31
122	18	6	28
123	24	10	35
124	33	23	9
125	6	20	32
126	33	6	22
127	10	26	36
128	45	7	19
129	5	32	17
130	34	8	24
131	21	11	30
132	6	32	18
133	21	30	11
134	8	19	35
135	35	25	10
136	7	20	32
137	33	23	8
138	7	34	23
139	32	5	22
140	22	9	33
141	7	33	23
142	19	7	32
143	7	21	33
144	31	22	12
145	9	37	27
146	8	26	39
147	18	107	7
148	33	23	6
149	22	35	7
150	10	19	29
151	38	10	26
152	19	10	28
153	34	16	6
154	6	861	840
155	6	18	31
156	30	11	20
157	22	7	33
158	23	8	36
159	25	81	16
160	10	29	19
161	24	34	9
162	6	21	35
163	8	22	33
164	33	8	22
165	7	35	24
166	24	40	9
167	18	30	7
168	7	18	28
169	7	19	34
170	21	31	8
171	18	28	7
172	19	10	28
173	18	7	28
174	20	29	10
175	7	24	34
176	25	9	44
177	11	20	30
178	35	7	21
179	29	19	10
180	20	29	10
181	21	30	11
182	41	6	25
183	7	21	32
184	30	21	12
185	10	19	29
186	18	8	3724
187	39	23	5
188	5	16	29
189	38	6	23
190	6	37	23
191	12	21	31
192	9	28	18
193	10	29	19
194	1203	7	1192
195	8	36	20
196	19	6	35
197	36	7	20
198	9	28	18
199	19	30	9
200	33	23	9
201	19	28	10
202	21	30	12
203	2613	2603	8
204	9	35	24
205	17	5	30
206	27	6	36
207	8	31	20
208	7	18	30
209	35	23	7
210	11	20	30
211	5	24	36
212	6	17	33
213	25	37	10
214	31	11	20
215	29	19	10
216	21	34	7
217	23	7	39
218	18	6	30
219	21	30	11
220	36	10	26
221	19	7	31
222	7	19	32
223	20	11	29
224	19	10	28
225	35	23	7
226	8	22	34
227	19	6	29
228	25	9	37
229	6	34	24
230	18	26	7
231	20	8	32
232	6	33	23
233	9	33	23
234	37	26	7
235	19	7	32
236	8	33	22
237	26	17	7
238	1097	10	19
239	23	33	7
240	37	9	25
241	34	7	19
242	24	9	33
243	19	8	30
244	6	19	34
245	24	39	9
246	31	20	7
247	10	29	19
248	34	23	7
249	21	33	6
250	26	41	10
251	22	37	7
252	34	8	22
253	35	23	10
254	33	6	19
255	9	37	25
256	9	28	18
257	31	7	19
258	5	33	23
259	30	21	12
260	28	19	9
261	6	17	27
262	8	22	32
263	17	6	26
264	45	10	55
265	25	8	36
266	8	24	35
267	7	19	31
268	7	17	27
269	12	21	31
270	38	9	23
271	49	13	22
272	20	36	9
273	11	20	30
274	24	35	8
275	34	9	24
276	17	6	29
277	23	7	35
278	24	37	10
279	18	8	28
280	21	11	30
281	10	39	24
282	10	19	29
283	19	9	28
284	9	26	40
285	10	23	36
286	28	5	17
287	21	30	12
288	33	6	18
289	6	31	20
290	9	33	23
291	21	32	9
292	17	3748	7
293	11	30	20
294	8	33	22
295	32	12	22
296	18	743	9
297	10	36	26
298	32	20	6
299	5	30	16
300	21	7	33
301	8	21	36
302	18	9	27
303	11	30	20
304	34	22	8
305	21	5	35
306	30	5	16
307	33	21	6
308	21	30	11
309	9	18	28
310	8	33	23
311	8	23	34
312	11	5294	20
313	35	7	25
314	13	44	21
315	31	22	12
316	23	7	34
317	18	29	6
318	35	7	23
319	21	12	30
320	30	6	20
321	7	19	34
322	23	7	36
323	21	33	6
324	25	10	35
325	7	34	24
326	6	33	20
327	24	9	35
328	19	10	28
329	34	22	7
330	12	21	31
331	9	33	22
332	19	28	10
333	29	19	8
334	24	35	9
335	5	22	34
336	31	6	20
337	8	33	21
338	34	25	8
339	35	8	25
340	22	35	7
341	30	21	11
342	6	17	30
343	35	23	7
344	9	36	26
345	6	21	33
346	22	35	7
347	20	10	29
348	21	30	8
349	5	26	16
350	18	29	6
351	11	1527	20
352	9	42	26
353	25	8	36
354	30	19	6
355	18	4	30
356	223	6	242
357	11	20	30
358	7	19	35
359	38	5	23
360	20	7	31
361	8	1800	17
362	5	32	17
363	9	24	36
364	32	5	17
365	7	18	29
366	20	29	11
367	8	24	35
368	42	11	20
369	2559	2573	6
370	21	33	9
371	11	20	30
372	19	5	30
373	38	27	14
374	9	25	34
375	24	7	36
376	37	10	27
377	36	23	9
378	8	18	29
379	24	35	7
380	10	36	26
381	32	6	22
382	35	7	23
383	41	10	27
384	22	34	6
385	20	29	11
386	37	22	7
387	10	29	19
388	14	23	78
389	8	31	20
390	34	23	10
391	7	23	35
392	20	7	33
393	19	9	28
394	29	5	17
395	6	30	20
396	30	21	11
397	6	31	19
398	28	19	9
399	23	33	8
400	7	36	24
401	34	6	22
402	32	5	22
403	33	18	6
404	8	24	37
405	7	33	23
406	10	764	19
407	11	20	29
408	9	28	18
409	461	479	490
410	6	33	23
411	21	8	34
412	40	9	23
413	31	8	19
414	11	30	20
415	10	19	110
416	18	27	9
417	25	16	79
418	707	9	18
419	11	20	30
420	35	8	24
421	29	17	6
422	10	29	19
423	31	7	21
424	31	5	20
425	25	36	8
426	17	32	6
427	8	36	23
428	9	29	39
429	37	24	8
430	6	18	31
431	29	19	7
432	23	33	7
433	32	8	20
434	34	7	23
435	19	10	28
436	7	27	18
437	30	7	19
438	8	42	27
439	37	6	26
440	30	11	20
441	30	10	20
442	32	19	6
443	20	29	10
444	8	25	38
445	8	17	27
446	6	2681	2667
447	39	5	21
448	17	29	6
449	10	19	29
450	17	29	7
451	8	37	26
452	18	9	27
453	22	6	35
454	23	9	36
455	19	30	8
456	8	32	22
457	6	30	19
458	41	25	7
459	31	12	21
460	7	18	31
461	22	6	33
462	24	8	34
463	9	28	18
464	32	21	6
465	31	11	21
466	6	60	50
467	36	8	26
468	22	9	42
469	9	24	34
470	6	22	34
471	6	3476	3464
472	36	7	24
473	37	25	9
474	30	19	10
475	8	21	32
476	29	20	10
477	21	31	8
478	33	19	8
479	6	19	34
480	21	36	8
481	20	29	10
482	7	23	38
483	8	24	35
484	55	19	6
485	29	6	18
486	6	19	30
487	20	11	29
488	36	8	21
489	8	37	27
490	18	9	27
491	8	17	27
492	7	31	20
493	9	25	40
494	8	22	34
495	22	7	33
496	8	38	27
497	8	34	24
498	7	35	19
499	30	6	20
500	26	36	9
501	24	15	79
502	34	6	22
503	9	28	38
504	18	9	27
505	35	7	23
506	8	19	73
507	7	18	28
508	18	7	37
509	18	6	34
510	34	9	24
511	9	38	21
512	34	9	22
513	19	28	10
514	18	7	29
515	7	28	18
516	22	34	7
517	10	38	26
518	10	19	29
519	8	30	20
520	32	9	22
521	33	21	9
522	22	8	34
523	6	22	39
524	10	19	28
525	11	30	20
526	19	10	28
527	7	20	39
528	25	7	38
529	31	6	21
530	32	47	7
531	20	6	30
532	27	6	17
533	7	24	34
534	31	20	7
535	6	33	19
536	32	19	9
537	22	13	31
538	27	44	9
539	36	25	9
540	11	19	29
541	29	16	6
542	11	45	20
543	34	6	22
544	7	36	23
545	36	8	24
546	32	23	6
547	22	7	38
548	33	22	7
549	34	23	9
550	11	20	30
551	19	1661	10
552	37	22	6
553	20	11	29
554	31	18	7
555	32	8	20
556	9	18	28
557	18	6	30
558	23	33	9
559	10	29	19
560	21	7	32
561	19	29	5
562	31	7	20
563	10	29	19
564	6	32	18
565	22	6	39
566	25	36	9
567	24	9	35
568	19	27	9
569	22	31	13
570	27	6	17
571	19	10	28
572	7	23	35
573	37	9	26
574	9	34	23
575	1703	9	19
576	17	29	7
577	29	20	10
578	1943	7	1933
579	30	19	7
580	17	27	7
581	18	27	9
582	9	22	34
583	19	10	28
584	10	61	19
585	38	29	9
586	36	6	20
587	10	29	19
588	35	25	9
589	5	15	549
590	21	6	32
591	20	11	29
592	7	24	35
593	6	32	21
594	32	7	20
595	20	31	8
596	7	1230	1305
597	34	23	9
598	9	18	28
599	7	35	24
600	33	6	22
601	8	18	73
602	9	19	37
603	6	20	36
604	18	9	27
605	18	8	27
606	12	21	31
607	17	6	26
608	42	10	30
609	113	11	20
610	33	8	23
611	34	6	22
612	21	30	12
613	17	8	27
614	30	21	12
615	18	9	27
616	34	24	8
617	20	32	7
618	35	21	8
619	26	38	11
620	19	10	28
621	20	29	11
622	22	12	31
623	32	7	21
624	8	24	36
625	36	24	9
626	12	21	31
627	7	34	23
628	26	5	16
629	4	28	17
630	30	6	20
631	6	21	38
632	12	21	31
633	33	7	23
634	9	18	28
635	21	33	9
636	5	29	19
637	23	40	7
638	6	27	18
639	35	10	25
640	20	7	31
641	22	9	33
642	10	23	32
643	30	6	20
644	26	38	10
645	30	20	6
646	36	24	9
647	1169	4	1154
648	9	34	22
649	21	34	8
650	32	22	6
651	24	8	38
652	37	25	7
653	39	8	18
654	39	9	23
655	18	27	9
656	6	21	32
657	35	23	10
658	19	61	10
659	33	22	6
660	19	28	8
661	31	6	19
662	29	5	17
663	25	7	34
664	32	5	19
665	18	30	8
666	16	29	5
667	14	23	33
668	31	20	6
669	28	18	9
670	6	22	32
671	18	7	29
672	16	25	6
673	31	11	21
674	9	41	26
675	20	32	9
676	31	12	21
677	18	7	27
678	22	33	9
679	11	20	30
680	9	18	28
