

Reaction test
type	A+B+C
number	250

max value	65536
unit	us

test	A	B	C
0	290	309	318
1	579	559	569
2	594	573	584
3	438	429	418
4	703	682	694
5	389	378	398
6	370	349	360
7	819	798	809
8	2539	2528	2548
9	3339	3328	3349
10	137	146	126
11	161	182	172
12	203	225	215
13	912	934	924
14	219	240	230
15	817	838	828
16	33	44	53
17	237	246	226
18	551	530	541
19	534	523	543
20	802	813	823
21	530	539	520
22	767	776	757
23	383	374	364
24	288	297	278
25	437	426	446
26	146	125	136
27	340	330	349
28	840	829	849
29	969	990	980
30	422	443	433
31	637	646	626
32	901	910	891
33	79	88	69
34	801	780	791
35	750	759	740
36	33	42	22
37	411	432	422
38	437	448	458
39	552	562	572
40	176	155	166
41	628	619	609
42	832	823	813
43	420	399	410
44	326	317	307
45	432	421	444
46	535	556	546
47	598	577	588
48	405	414	395
49	312	333	323
50	348	327	338
51	433	444	454
52	844	823	834
53	328	337	318
54	944	922	934
55	634	624	643
56	375	354	365
57	293	302	283
58	138	127	147
59	177	156	167
60	698	707	687
61	397	406	387
62	718	707	727
63	371	350	361
64	931	920	940
65	517	507	527
66	724	713	733
67	546	536	556
68	607	617	627
69	929	938	918
70	71	93	83
71	531	522	512
72	763	754	744
73	361	352	341
74	362	352	372
75	581	560	571
76	885	896	906
77	553	532	543
78	999	978	989
79	534	524	514
80	405	396	386
81	556	535	546
82	156	146	166
83	131	142	151
84	669	660	650
85	382	361	372
86	347	337	327
87	165	144	155
88	998	977	988
89	328	319	309
90	653	643	633
91	159	138	149
92	796	776	786
93	491	500	481
94	243	233	223
95	879	858	869
96	218	229	239
97	856	867	877
98	668	659	649
99	483	462	473
100	861	882	872
101	32	41	22
102	433	442	422
103	1002	1011	991
104	800	790	780
105	716	694	706
106	764	775	784
107	2900	2909	2888
108	962	941	952
109	292	283	273
110	91	70	81
111	180	160	170
112	27	16	36
113	215	206	196
114	603	612	593
115	187	166	177
116	224	214	205
117	505	484	495
118	321	330	312
119	626	647	637
120	503	492	512
121	319	310	299
122	872	862	881
123	355	345	364
124	383	392	374
125	411	401	420
126	662	682	673
127	960	951	941
128	933	952	943
129	924	934	944
130	309	299	318
131	639	650	660
132	177	168	157
133	865	876	886
134	531	540	520
135	842	851	831
136	299	310	320
137	101	110	91
138	451	462	472
139	695	704	714
140	908	917	898
141	32	53	43
142	686	707	697
143	700	710	720
144	168	189	179
145	664	640	654
146	559	580	570
147	925	916	905
148	303	314	323
149	497	486	506
150	888	868	879
151	891	882	872
152	756	776	767
153	927	917	936
154	773	763	782
155	911	890	901
156	53	74	64
157	303	314	324
158	86	76	96
159	213	191	203
160	309	330	320
161	315	305	295
162	928	917	937
163	640	631	621
164	883	904	894
165	199	178	189
166	443	452	433
167	323	314	303
168	782	761	772
169	668	646	658
170	3722	3713	3702
171	764	773	754
172	192	201	182
173	191	200	181
174	668	647	658
175	700	709	689
176	377	398	388
177	599	608	589
178	89	101	111
179	564	553	573
180	819	828	809
181	198	188	207
182	31	20	40
183	351	342	331
184	1963	1972	1952
185	113	122	103
186	484	475	465
187	207	228	218
188	173	152	163
189	814	823	805
190	585	594	575
191	392	401	382
192	847	869	859
193	917	896	907
194	63	54	43
195	197	177	188
196	48	69	59
197	334	314	324
198	991	1000	980
199	751	772	762
200	491	482	471
201	379	370	359
202	557	546	566
203	9	1011	20
204	153	162	143
205	772	783	793
206	122	143	133
207	752	760	741
208	605	595	586
209	814	823	804
210	786	777	767
211	768	757	777
212	430	409	420
213	531	510	521
214	1012	1001	6
215	757	766	747
216	89	98	79
217	543	552	533
218	859	880	870
219	521	530	511
220	269	278	258
221	322	313	303
222	770	779	759
223	399	389	408
224	627	606	617
225	557	547	567
226	590	611	601
227	596	575	586
228	195	174	185
229	533	554	544
230	505	526	516
231	714	705	694
232	408	398	418
233	193	183	203
234	847	826	837
235	1021	1000	1011
236	439	430	420
237	544	523	535
238	381	370	390
239	304	293	314
240	774	785	795
241	43	34	24
242	888	878	897
243	817	826	806
244	770	761	751
245	86	95	76
246	401	390	380
247	588	567	578
248	810	822	799
249	2900	2891	2880
