

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	983	1006	1017
1	112	132	145
2	524	546	557
3	642	662	675
4	566	586	599
5	18	37	51
6	971	993	1004
7	759	779	792
8	780	800	813
9	206	225	242
10	580	602	613
11	429	452	463
12	63	85	96
13	783	805	816
14	981	1001	1014
15	790	810	822
16	817	837	850
17	876	898	908
18	429	449	462
19	136	156	169
20	516	536	549
21	534	554	567
22	274	294	307
23	612	635	645
24	33	53	66
25	182	204	215
26	937	956	970
27	9	28	42
28	9	31	42
29	565	585	598
30	643	662	676
31	149	169	182
32	654	677	687
33	766	788	799
34	842	862	875
35	23	42	55
36	665	685	698
37	385	405	418
38	840	863	874
39	480	502	513
40	644	664	677
41	72	95	106
42	772	795	806
43	174	195	208
44	807	827	840
45	710	732	743
46	48	71	82
47	671	694	705
48	927	949	960
49	539	562	572
50	1004	12	24
51	480	503	514
52	612	632	645
53	850	870	883
54	839	859	872
55	975	997	1008
56	843	867	876
57	767	789	800
58	45	65	78
59	306	328	339
60	36	58	69
61	981	1001	1014
62	475	497	508
63	1003	10	22
64	939	959	972
65	775	797	808
66	288	310	321
67	932	954	965
68	329	351	362
69	495	515	528
70	651	673	684
71	662	682	695
72	311	334	345
73	750	770	783
74	176	196	209
75	462	484	495
76	982	1004	1015
77	174	196	207
78	722	744	755
79	240	262	273
80	788	808	821
81	1003	11	23
82	284	306	317
83	727	749	760
84	646	668	679
85	164	186	197
86	368	390	401
87	546	566	579
88	770	790	803
89	224	244	257
90	258	278	291
91	362	382	395
92	880	903	914
93	681	701	715
94	555	578	589
95	245	267	278
96	478	498	511
97	416	435	448
98	567	589	600
99	613	633	646
100	821	841	854
101	817	837	851
102	113	133	146
103	117	137	150
104	368	388	401
105	786	806	819
106	885	907	918
107	281	300	313
108	84	104	117
109	200	220	233
110	973	995	1006
111	264	284	297
112	481	503	515
113	502	521	534
114	84	104	117
115	978	998	1011
116	998	6	18
117	546	566	579
118	599	621	632
119	575	596	607
120	257	277	290
121	587	609	620
122	937	957	970
123	589	611	622
124	752	772	785
125	511	531	544
126	874	893	906
127	971	990	1004
128	261	283	294
129	770	789	803
130	486	506	519
131	467	487	500
132	187	207	220
133	565	587	598
134	982	1002	1015
135	498	520	531
136	375	395	408
137	158	180	191
138	45	64	77
139	477	497	510
140	30	52	63
141	677	697	710
142	587	607	619
143	712	732	745
144	901	923	934
145	326	346	359
146	921	941	954
147	619	639	652
148	50	72	83
149	137	156	170
150	340	366	377
151	827	847	860
152	813	833	846
153	32	52	65
154	606	628	639
155	213	236	247
156	505	525	538
157	41	63	74
158	357	380	391
159	88	108	121
160	177	197	210
161	660	680	693
162	992	1014	10
163	244	263	276
164	33	55	66
165	522	544	555
166	408	427	441
167	402	424	435
168	93	113	126
169	481	501	514
170	102	124	135
171	335	355	368
172	983	1002	1016
173	929	948	961
174	575	597	608
175	135	157	168
176	748	770	781
177	32	51	65
178	988	1010	6
179	590	610	623
180	450	473	484
181	333	355	366
182	991	1010	7
183	365	385	398
184	500	522	533
185	749	769	782
186	187	209	220
187	941	963	974
188	935	955	968
189	464	484	497
190	528	548	561
191	797	817	830
192	227	247	260
193	701	721	734
194	496	515	529
195	221	241	254
196	853	873	886
197	594	616	627
198	66	85	98
199	122	142	155
200	811	831	844
201	300	319	333
202	40	60	73
203	686	712	723
204	31	51	64
205	66	86	99
206	47	70	81
207	583	603	616
208	207	227	240
209	211	233	244
210	959	979	992
211	594	616	627
212	92	114	125
213	755	775	788
214	529	549	562
215	239	259	272
216	488	510	521
217	671	691	704
218	991	1013	9
219	311	330	343
220	458	478	491
221	51	75	86
222	361	383	394
223	919	941	952
224	614	637	648
225	567	589	600
226	314	336	347
227	488	511	522
228	541	563	574
229	972	992	1005
230	840	860	873
231	180	203	214
232	365	385	398
233	56	76	89
234	962	984	995
235	981	1000	1013
236	912	932	945
237	754	774	788
238	143	163	176
239	447	469	480
240	1000	9	20
241	437	459	470
242	632	654	665
243	635	655	670
244	627	647	660
245	757	777	790
246	14	36	47
247	454	474	487
248	433	453	466
249	396	418	429
250	781	801	814
251	540	560	573
252	381	403	414
253	890	910	923
254	764	784	797
255	810	830	843
256	549	571	582
257	421	444	455
258	775	795	808
259	683	705	716
260	640	662	674
261	582	602	615
262	163	183	196
263	173	195	206
264	300	322	333
265	837	856	870
266	885	907	918
267	661	683	694
268	617	637	650
269	505	527	538
270	544	566	577
271	891	913	924
272	756	777	790
273	212	234	244
274	895	917	928
275	310	332	343
276	357	380	391
277	590	610	623
278	318	340	351
279	946	966	979
280	463	483	496
281	340	360	373
282	746	768	779
283	895	915	928
284	289	309	322
285	136	156	170
286	798	821	832
287	640	663	674
288	381	403	414
289	392	412	425
290	240	262	273
291	658	677	690
292	807	827	840
293	987	1007	1020
294	114	136	147
295	618	638	651
296	979	999	1012
297	554	577	588
298	884	906	917
299	859	878	891
300	988	1008	5
301	815	837	848
302	409	429	442
303	428	448	461
304	711	731	744
305	183	206	217
306	879	902	913
307	60	80	93
308	369	389	403
309	37	59	70
310	267	287	300
311	716	736	749
312	425	445	458
313	768	788	801
314	905	927	938
315	430	453	464
316	696	716	729
317	345	365	378
318	980	999	1012
319	426	449	460
320	18	38	51
321	570	590	603
322	348	370	381
323	827	847	860
324	191	211	224
325	825	847	861
326	561	583	594
327	806	825	838
328	196	216	229
329	265	285	298
330	865	885	898
331	615	635	648
332	115	135	148
333	649	669	682
334	778	801	812
335	74	99	108
336	658	681	693
337	12	34	45
338	304	326	337
339	764	786	797
340	345	365	378
341	908	928	941
342	9	31	47
343	672	695	710
344	394	417	428
345	93	113	126
346	535	555	568
347	220	247	258
348	661	681	694
349	905	925	938
350	631	654	665
351	201	223	234
352	709	733	744
353	848	876	886
354	257	277	290
355	200	220	233
356	256	276	290
357	455	474	487
358	905	927	938
359	132	152	165
360	694	714	727
361	956	978	989
362	989	1008	6
363	50	73	84
364	657	677	690
365	821	843	854
366	200	220	233
367	284	304	317
368	873	892	906
369	73	93	106
370	851	871	884
371	122	145	156
372	570	593	604
373	842	865	875
374	550	576	587
375	688	711	722
376	620	643	654
377	903	926	937
378	416	436	449
379	470	490	503
380	848	867	880
381	316	335	348
382	624	644	657
383	302	322	335
384	393	413	426
385	95	115	128
386	82	102	115
387	480	500	513
388	272	296	307
389	41	64	75
390	385	408	419
391	56	78	89
392	7	29	40
393	941	961	974
394	5	26	39
395	187	207	220
396	482	504	515
397	297	317	330
398	446	468	479
399	1007	16	27
400	39	59	72
401	535	555	568
402	980	1002	1013
403	580	603	614
404	324	346	357
405	803	826	837
406	303	326	337
407	85	106	118
408	149	168	182
409	154	174	187
410	316	338	349
411	758	778	792
412	902	922	935
413	221	243	254
414	756	778	789
415	396	416	429
416	343	363	376
417	441	463	474
418	429	451	462
419	655	675	688
420	213	233	246
421	329	348	362
422	406	426	439
423	632	652	665
424	392	411	425
425	342	362	375
426	136	156	169
427	980	1002	1013
428	310	330	343
429	197	219	230
430	529	549	562
431	598	618	631
432	288	310	321
433	45	67	78
434	502	524	535
435	62	84	95
436	760	779	793
437	416	438	449
438	736	758	769
439	529	549	562
440	374	394	407
441	49	69	82
442	125	145	158
443	381	401	414
444	430	449	463
445	654	674	687
446	454	474	487
447	267	287	300
448	151	170	184
449	741	761	774
450	61	83	94
451	689	708	721
452	676	696	709
453	767	787	800
454	700	720	733
455	228	248	261
456	888	908	921
457	977	999	1010
458	293	315	326
459	97	119	130
460	905	927	938
461	995	1015	13
462	767	789	800
463	752	772	785
464	15	37	48
465	972	992	1005
466	141	163	174
467	456	476	489
468	473	493	506
469	793	813	826
470	295	315	328
471	253	275	286
472	639	659	672
473	968	988	1001
474	547	569	580
475	947	967	980
476	938	960	971
477	664	684	697
478	279	299	312
479	674	694	707
480	479	501	512
481	469	489	502
482	8	28	41
483	885	905	918
484	442	462	475
485	921	943	954
486	734	754	767
487	531	553	564
488	471	491	504
489	207	226	239
490	269	289	302
491	652	672	685
492	427	450	461
493	243	263	276
494	573	593	606
495	91	111	124
496	708	730	741
497	451	473	484
498	758	778	791
499	344	366	377
500	114	143	154
501	6	28	39
502	451	470	484
503	457	477	490
504	550	572	583
505	423	443	456
506	699	718	732
507	356	376	389
508	905	927	937
509	649	669	682
510	881	900	913
511	799	821	832
512	304	324	337
513	42	64	75
514	839	859	872
515	803	823	836
516	162	182	195
517	261	280	294
518	1008	16	28
519	769	788	802
520	698	720	731
521	114	133	147
522	328	347	361
523	11	33	44
524	579	599	612
525	206	228	239
526	771	793	804
527	15	35	48
528	218	240	252
529	247	270	281
530	228	248	261
531	417	437	450
532	578	599	612
533	437	457	470
534	830	850	863
535	988	1010	6
536	800	822	833
537	879	899	912
538	417	439	450
539	82	102	115
540	805	828	839
541	413	432	446
542	783	803	816
543	526	548	559
544	227	247	260
545	590	610	623
546	296	315	329
547	39	61	72
548	476	496	509
549	701	721	734
550	97	119	130
551	227	247	260
552	234	254	267
553	373	393	406
554	355	377	388
555	290	312	323
556	837	856	869
557	378	401	412
558	786	806	819
559	592	612	625
560	129	151	162
561	716	738	749
562	931	950	963
563	171	191	204
564	267	287	300
565	230	252	263
566	806	826	839
567	348	370	381
568	194	214	227
569	322	342	355
570	590	609	623
571	204	226	237
572	667	687	700
573	873	895	906
574	203	225	236
575	179	199	212
576	88	110	122
577	962	984	995
578	506	528	539
579	828	847	861
580	564	586	597
581	386	409	419
582	655	674	688
583	585	605	618
584	175	194	207
585	342	364	375
586	963	983	996
587	796	818	829
588	243	263	276
589	806	826	839
590	582	604	615
591	668	690	702
592	377	399	410
593	173	193	206
594	398	418	431
595	203	223	236
596	322	344	355
597	984	1003	1016
598	827	847	861
599	601	620	634
600	602	625	636
601	102	124	135
602	450	472	483
603	398	420	431
604	80	102	113
605	692	715	725
606	217	239	250
607	849	877	888
608	572	594	605
609	205	225	238
610	545	567	578
611	440	460	473
612	521	543	554
613	83	105	116
614	628	648	661
615	677	700	711
616	47	67	80
617	483	506	517
618	989	1011	6
619	110	130	143
620	476	498	509
621	415	438	448
622	803	823	836
623	226	246	259
624	78	98	111
625	748	768	781
626	392	414	425
627	378	398	411
628	364	386	397
629	329	349	362
630	577	597	610
631	921	943	954
632	495	517	528
633	184	206	217
634	700	723	734
635	166	186	199
636	705	725	738
637	1007	16	28
638	13	35	46
639	128	148	161
640	798	818	831
641	309	329	342
642	677	699	710
643	942	962	975
644	858	880	891
645	192	211	225
646	132	151	165
647	790	812	822
648	49	69	82
649	954	976	987
650	521	540	553
651	928	952	964
652	932	952	965
653	567	587	600
654	357	377	390
655	407	429	440
656	777	797	810
657	809	831	842
658	625	644	658
659	82	102	115
660	593	612	626
661	708	728	741
662	985	1005	1018
663	90	113	123
664	112	132	145
665	661	681	694
666	456	476	489
667	570	592	603
668	291	311	324
669	236	255	269
670	761	781	794
671	285	307	318
672	1012	20	32
673	584	604	617
674	574	594	607
675	711	731	744
676	88	108	121
677	155	174	188
678	43	63	76
679	988	1011	6
680	269	291	302
681	333	353	366
682	421	443	453
