

Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	73	98	109
1	25	47	58
2	27	47	60
3	47	69	80
4	55	76	87
5	62	82	95
6	90	7	19
7	56	76	89
8	81	101	8
9	96	13	25
10	71	91	104
11	97	14	26
12	104	21	33
13	88	5	17
14	30	52	63
15	16	38	50
16	60	82	93
17	105	22	34
18	83	103	10
19	21	41	54
20	7	27	40
21	54	74	87
22	62	82	95
23	21	40	54
24	50	73	84
25	76	98	109
26	82	104	9
27	33	52	66
28	38	58	71
29	27	49	60
30	5	25	38
31	82	102	9
32	103	20	31
33	70	93	104
34	76	96	109
35	17	39	50
36	65	85	98
37	68	88	101
38	103	20	32
39	15	35	48
40	9	29	44
41	83	110	10
42	91	8	20
43	48	71	82
44	11	33	44
45	24	46	57
46	57	77	90
47	8	28	41
48	35	57	68
49	90	7	19
50	29	51	62
51	20	42	53
52	30	50	64
53	41	61	74
54	31	53	64
55	22	44	55
56	13	32	45
57	40	62	73
58	57	77	90
59	29	49	62
60	7	29	40
61	71	93	104
62	90	7	19
63	51	73	84
64	85	105	12
65	73	95	106
66	100	18	29
67	100	17	29
68	67	87	100
69	60	82	93
70	30	52	63
71	67	87	100
72	40	60	72
73	66	88	99
74	88	5	17
75	50	70	83
76	68	90	101
77	95	12	23
78	12	34	45
79	66	86	99
80	95	12	24
81	69	91	102
82	72	94	105
83	16	38	49
84	51	71	83
85	39	61	72
86	23	45	56
87	19	39	52
88	88	5	16
89	81	103	8
90	29	51	62
91	47	69	80
92	13	33	45
93	76	95	108
94	100	17	29
95	67	89	100
96	54	76	87
97	33	53	66
98	9	31	42
99	47	67	80
100	70	92	103
101	24	47	58
102	68	88	101
103	99	17	28
104	55	77	88
105	83	103	9
106	49	69	82
107	82	104	8
108	49	71	82
109	42	64	75
110	104	21	33
111	66	88	99
112	37	59	70
113	6	28	39
114	103	20	32
115	29	49	62
116	61	83	94
117	31	53	64
118	67	89	100
119	101	18	30
120	105	22	34
121	54	76	87
122	76	96	109
123	93	10	22
124	49	71	82
125	9	31	42
126	96	14	25
127	103	20	32
128	45	67	78
129	35	57	68
130	70	92	103
131	104	21	33
132	41	63	74
133	11	33	44
134	86	105	12
135	23	46	57
136	14	36	47
137	98	16	27
138	80	99	6
139	13	35	46
140	86	106	13
141	28	50	61
142	94	11	23
143	39	59	72
144	89	6	18
145	77	99	110
146	44	66	77
147	52	74	85
148	31	53	64
149	47	69	80
150	65	85	98
151	18	38	50
152	17	39	50
153	41	63	74
154	70	92	103
155	38	60	71
156	19	41	52
157	78	100	111
158	62	82	95
159	26	48	59
160	9	29	42
161	12	32	45
162	61	83	94
163	63	85	96
164	24	46	57
165	65	87	98
166	87	4	16
167	80	100	7
168	50	69	82
169	74	96	107
170	8	28	41
171	22	44	55
172	97	14	25
173	63	85	96
174	90	7	19
175	42	62	75
176	40	60	72
177	92	10	23
178	89	6	18
179	15	38	48
180	91	8	20
181	71	93	104
182	14	36	47
183	18	38	51
184	56	78	89
185	19	41	51
186	57	77	90
187	7	29	40
188	105	22	34
189	39	61	72
190	104	21	33
191	85	106	13
192	8	30	41
193	91	9	20
194	60	80	93
195	80	102	6
196	18	40	51
197	68	90	101
198	99	17	28
199	30	52	63
200	84	104	11
201	78	100	111
202	34	54	67
203	76	98	108
204	63	86	96
205	62	84	95
206	75	97	108
207	92	9	20
208	76	98	109
209	51	73	84
210	101	18	30
211	20	44	55
212	35	57	68
213	39	61	72
214	79	101	5
215	64	86	97
216	69	89	102
217	37	59	70
218	85	104	11
219	27	49	60
220	28	50	61
221	76	98	109
222	76	98	109
223	42	64	75
224	17	39	51
225	97	14	25
226	8	31	41
227	11	33	44
228	72	92	105
229	62	84	95
230	63	85	96
231	75	97	108
232	20	42	53
233	80	100	7
234	102	19	31
235	41	60	73
236	29	51	62
237	8	30	47
238	12	35	46
239	60	82	93
240	55	77	88
241	10	32	43
242	11	33	43
243	44	70	81
244	34	54	66
245	82	105	8
246	77	99	110
247	103	20	32
248	21	43	54
249	80	102	7
250	103	20	32
251	40	62	73
252	54	76	87
253	97	14	26
254	92	9	21
255	11	33	44
256	42	62	75
257	54	76	87
258	33	53	66
259	54	76	87
260	17	39	49
261	12	34	45
262	29	49	62
263	67	87	100
264	100	18	29
265	9	32	43
266	37	59	70
267	92	9	21
268	39	59	72
269	83	103	10
270	80	102	6
271	39	61	72
272	74	96	106
273	51	73	84
274	85	107	11
275	44	66	77
276	79	101	112
277	96	13	25
278	6	26	39
279	73	95	106
280	8	28	41
281	97	15	26
282	25	47	58
283	35	56	67
284	91	8	20
285	42	62	74
286	16	39	49
287	32	52	65
288	75	97	108
289	44	67	78
290	104	22	33
291	82	101	8
292	74	96	107
293	29	51	62
294	97	14	26
295	56	79	90
296	52	74	85
297	61	83	94
298	59	78	92
299	40	60	73
300	76	96	109
301	97	14	25
302	101	18	30
303	75	97	108
304	70	92	103
305	23	43	56
306	66	88	99
307	39	59	72
308	61	83	94
309	87	107	13
310	97	14	26
311	95	12	24
312	40	62	73
313	64	84	97
314	18	40	51
315	45	68	79
316	23	45	56
317	8	30	41
318	101	19	30
319	42	64	75
320	50	72	83
321	77	97	110
322	84	103	10
323	41	64	75
324	17	40	51
325	63	86	97
326	33	55	66
327	21	43	54
328	77	99	110
329	22	44	55
330	100	17	28
331	42	62	75
332	49	71	82
333	48	70	81
334	93	10	22
335	83	105	9
336	60	79	92
337	22	44	55
338	36	56	69
339	7	29	40
340	41	61	74
341	51	72	83
342	43	63	76
343	69	89	102
344	62	81	94
345	60	80	93
346	84	104	11
347	92	9	20
348	81	101	8
349	68	90	101
350	40	62	73
351	105	28	38
352	68	88	101
353	96	13	24
354	27	49	60
355	71	93	104
356	51	73	84
357	61	84	94
358	59	81	92
359	42	64	75
360	71	91	103
361	52	72	85
362	52	74	85
363	33	55	66
364	89	6	18
365	15	38	48
366	67	89	100
367	89	6	18
368	96	14	25
369	89	6	17
370	27	46	60
371	38	60	71
372	81	100	7
373	24	44	57
374	18	40	51
375	9	31	42
376	74	96	108
377	31	53	64
378	56	78	89
379	102	19	30
380	65	87	98
381	69	89	102
382	49	71	82
383	54	76	87
384	22	44	55
385	58	80	91
386	106	23	34
387	57	79	90
388	54	78	89
389	14	37	48
390	43	65	76
391	17	39	50
392	83	103	9
393	61	83	94
394	84	104	11
395	24	46	57
396	54	74	87
397	77	99	110
398	25	47	58
399	27	50	60
400	57	80	91
401	79	99	6
402	60	82	93
403	37	59	70
404	40	68	80
405	8	30	41
406	105	22	34
407	48	67	80
408	37	57	70
409	68	88	101
410	73	95	106
411	84	103	10
412	73	95	106
413	92	9	21
414	37	57	70
415	89	6	18
416	17	37	50
417	35	55	68
418	24	44	57
419	64	86	97
420	64	86	97
421	14	33	47
422	32	52	65
423	96	13	24
424	19	41	51
425	93	10	22
426	96	13	24
427	87	109	14
428	47	67	80
429	106	23	35
430	66	88	99
431	5	27	38
432	39	59	71
433	83	103	10
434	81	100	7
435	73	95	106
436	32	52	65
437	17	39	50
438	100	17	29
439	101	18	30
440	17	39	50
441	14	36	47
442	98	16	27
443	28	48	61
444	15	37	48
445	9	29	42
446	91	8	20
447	71	93	104
448	25	47	59
449	38	60	73
450	55	75	88
451	21	40	54
452	75	97	109
453	10	32	48
454	90	8	19
455	103	24	33
456	66	88	99
457	8	30	42
458	11	33	44
459	92	9	21
460	39	61	72
461	89	7	18
462	12	34	45
463	11	33	45
464	27	49	60
465	95	12	24
466	79	101	112
